Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2016,"Richmond County, GA",13245,3061,27.0,38.18,38.57,3135.18,27.75,10.85,3760581,35032,201801,126202,55777,7069409,144657
2018,"Richmond County, GA",13245,2918,27.22,38.19,38.54,3127.8,27.73,10.32,4122188,38196,201554,127442,57720,7698627,147751
2017,"Richmond County, GA",13245,3003,27.08,38.17,38.51,3123.47,27.78,10.93,3995364,36820,201460,126730,56814,7417698,146518
2017,"Whitfield County, GA",13313,1357,26.98,38.3,38.64,3275.76,28.96,12.25,2351090,37278,104063,58351,56133,3879280,67474
2018,"Whitfield County, GA",13313,1300,27.32,38.41,38.73,3281.02,28.93,12.17,2403699,38752,104062,59180,55965,4032582,68551
2016,"Whitfield County, GA",13313,1424,26.98,38.26,38.65,3270.21,28.92,12.64,2263604,36201,104308,59823,54128,3776104,68619
2017,"Hawaii County, HI",15001,2290,28.7,38.46,38.68,3219.31,26.84,10.34,4316090,40883,199503,75128,44919,8156188,107763
2016,"Hawaii County, HI",15001,2349,28.56,38.41,38.71,3227.47,26.54,9.94,4040072,39005,198126,73261,43038,7727884,105378
2018,"Hawaii County, HI",15001,2227,28.77,38.45,38.77,3214.59,26.77,10.44,4490534,42449,200983,76154,46062,8531484,109624
2018,"Honolulu County, HI",15003,12168,29.7,38.38,38.65,3226.58,26.83,9.99,37614562,59608,980080,540783,63990,58420993,663994
2016,"Honolulu County, HI",15003,12983,29.35,38.44,38.71,3229.7,26.14,10.79,35214105,54860,992692,537898,60608,54459502,655985
2017,"Honolulu County, HI",15003,12487,29.48,38.4,38.64,3229.87,26.52,10.79,36390337,57049,986429,538793,62459,56274893,657903
2018,"Ada County, ID",16001,4861,29.6,38.58,38.82,3311.9,26.0,12.12,15746316,52958,469966,260362,56744,24888280,334300
2017,"Ada County, ID",16001,4842,29.38,38.69,38.89,3336.35,25.96,12.2,14724321,50699,456885,248781,55149,23163760,320767
2016,"Ada County, ID",16001,5045,29.43,38.65,38.81,3340.88,25.84,12.01,13792848,48641,444824,240809,53674,21636543,308762
2018,"Bonneville County, ID",16019,1815,27.92,38.32,38.36,3203.52,27.51,11.9,3297200,48287,116854,54951,48096,5642538,73082
2016,"Bonneville County, ID",16019,1910,27.53,38.38,38.36,3238.46,26.69,11.88,2951415,44272,112249,51754,44931,4969529,68793
2017,"Bonneville County, ID",16019,1876,27.78,38.29,38.25,3211.42,26.96,12.03,3130101,46236,114692,53043,46877,5302884,70740
2018,"Canyon County, ID",16027,2918,27.71,38.47,38.75,3302.05,27.78,10.79,4477587,32680,223499,71473,41331,7303867,97050
2017,"Canyon County, ID",16027,3065,27.54,38.51,38.78,3313.61,27.53,10.99,4176911,31422,216871,67563,40490,6814495,92497
2016,"Canyon County, ID",16027,3129,27.25,38.52,38.72,3313.28,27.55,10.74,3892388,30254,211370,64331,39463,6394711,87990
2016,"Kootenai County, ID",16055,1754,28.01,38.75,39.03,3353.5,25.91,12.35,3590388,41370,153103,61719,40650,6333831,85018
2017,"Kootenai County, ID",16055,1811,28.33,38.74,38.99,3367.05,26.21,12.62,3834828,43129,157485,63948,41898,6792188,88196
2018,"Kootenai County, ID",16055,1732,28.46,38.71,39.05,3372.6,26.41,12.68,4085539,44987,161505,66206,43259,7265573,91083
2016,"Champaign County, IL",17019,2395,28.9,38.41,38.53,3274.38,27.32,12.69,5975620,42875,209961,106176,56677,9002125,127539
2017,"Champaign County, IL",17019,2295,28.95,38.42,38.6,3288.89,27.69,12.91,5890721,43106,210104,107078,55596,9056828,128879
2018,"Champaign County, IL",17019,2254,28.91,38.27,38.44,3252.19,27.72,12.77,6152129,45328,209983,107920,57251,9518119,130332
2016,"Cook County, IL",17031,66779,29.64,38.42,38.56,3233.71,26.89,10.8,190095907,56961,5228455,2752243,69692,297820437,3507975
2017,"Cook County, IL",17031,64374,29.79,38.43,38.57,3233.49,27.01,10.86,195048415,59046,5204502,2762088,71080,307302945,3523229
2018,"Cook County, IL",17031,61797,30.05,38.38,38.51,3230.21,27.13,10.88,202792035,62205,5180493,2790271,73081,322254992,3584457
2017,"DeKalb County, IL",17037,1142,28.59,38.32,38.53,3302.04,28.04,12.06,2641950,39059,104151,42386,47364,4068006,52891
2018,"DeKalb County, IL",17037,1092,28.74,38.2,38.42,3274.78,28.15,11.93,2752124,40929,104143,42905,49141,4262447,53687
2016,"DeKalb County, IL",17037,1093,28.85,38.41,38.7,3301.27,27.89,11.89,2586882,38140,103984,42377,47322,3965995,52769
2017,"DuPage County, IL",17043,10337,31.15,38.52,38.71,3305.99,26.17,12.21,45434529,69106,930662,660288,71223,64314288,797827
2016,"DuPage County, IL",17043,10832,30.94,38.51,38.69,3316.31,25.94,11.97,43846798,66522,931680,652527,69263,61977193,789227
2018,"DuPage County, IL",17043,10298,31.2,38.49,38.65,3303.16,26.23,12.24,47367051,72889,928589,658638,72662,67684237,801376
2018,"Kane County, IL",17089,6337,29.63,38.29,38.5,3288.64,27.56,11.43,19494127,51333,534216,226162,58053,27422778,280473
2016,"Kane County, IL",17089,6710,29.44,38.32,38.5,3297.78,27.55,11.13,18074570,47188,531463,222012,55715,25078880,273867
2017,"Kane County, IL",17089,6339,29.46,38.37,38.55,3319.7,27.62,11.37,18618880,48814,533156,223827,57101,26025618,276466
2016,"Kankakee County, IL",17091,1354,27.77,38.19,38.4,3226.91,28.29,10.85,2661549,38347,111074,45346,48785,4259329,55149
2018,"Kankakee County, IL",17091,1237,27.94,38.32,38.54,3221.41,28.13,10.92,2811004,41290,110024,46920,49986,4542931,56689
2017,"Kankakee County, IL",17091,1289,27.8,38.15,38.33,3193.05,28.56,10.68,2721650,39602,110544,47079,48957,4377733,56624
2018,"Kendall County, IL",17093,1516,30.76,38.25,38.42,3312.65,27.94,12.02,4915862,49033,127915,31043,44723,6272063,44812
2017,"Kendall County, IL",17093,1481,30.46,38.44,38.64,3347.17,27.54,12.24,4659003,46966,126272,30832,42627,5930467,44167
2016,"Kendall County, IL",17093,1595,30.25,38.33,38.57,3309.74,27.54,12.12,4507078,45910,124592,29633,42988,5720016,42435
2018,"Lake County, IL",17097,7095,30.2,38.48,38.63,3304.09,27.31,11.81,36130004,78559,700832,375687,81924,55056935,472354
2017,"Lake County, IL",17097,7607,30.15,38.43,38.62,3285.25,27.17,11.81,34643835,74130,703006,370353,79062,52114081,464133
2016,"Lake County, IL",17097,7660,29.95,38.44,38.65,3292.96,26.94,11.91,34023356,72732,704644,366589,76842,51250478,460331
2016,"LaSalle County, IL",17099,1262,27.96,38.44,38.74,3286.59,27.33,12.82,2823437,41221,110203,44805,50306,4542660,55480
2018,"LaSalle County, IL",17099,1092,28.35,38.4,38.62,3312.87,28.61,12.65,3029787,44632,109430,44404,52576,4884105,55200
2017,"LaSalle County, IL",17099,1180,27.52,38.39,38.7,3297.0,28.22,12.73,2915819,42616,109681,44700,51542,4674174,55230
2016,"McHenry County, IL",17111,3090,29.94,38.4,38.57,3331.86,26.81,11.86,11449777,51524,307296,103849,48907,15833218,138495
2018,"McHenry County, IL",17111,2987,30.35,38.49,38.68,3337.5,27.57,11.76,12312248,55720,308570,104531,49927,17193564,140657
2017,"McHenry County, IL",17111,3185,30.13,38.52,38.67,3354.09,27.28,11.49,11755542,52999,308013,104615,49312,16324485,139675
2018,"McLean County, IL",17113,1817,29.06,38.45,38.62,3326.32,27.81,11.93,5925746,49180,172828,93279,62321,8499762,112062
2017,"McLean County, IL",17113,2004,29.23,38.37,38.53,3290.72,27.07,11.79,5756871,47247,172845,93728,60626,8166372,112014
2016,"McLean County, IL",17113,2020,28.87,38.42,38.64,3285.22,26.54,11.91,5772898,46727,173140,93766,61199,8090282,111464
2016,"Macon County, IL",17115,1327,26.86,38.21,38.39,3230.54,28.4,11.54,2924266,45077,106430,53161,60158,4797541,62615
2018,"Macon County, IL",17115,1269,27.05,38.27,38.4,3249.77,28.98,11.32,3041023,48214,104712,53322,62980,5048618,62811
2017,"Macon County, IL",17115,1298,26.94,38.28,38.34,3242.66,28.73,11.39,2885490,45425,105533,52957,60153,4793880,62255
2018,"Madison County, IL",17119,2865,28.42,38.15,38.32,3227.49,28.46,10.87,7851650,46890,264461,111399,52030,12400663,136571
2016,"Madison County, IL",17119,3051,28.08,38.41,38.57,3276.59,27.9,10.81,7267968,43183,265733,105072,49312,11475044,129846
2017,"Madison County, IL",17119,2892,28.34,38.33,38.48,3260.0,28.08,10.6,7511216,44555,265471,106254,50602,11828146,130808
2018,"Peoria County, IL",17143,2504,27.86,38.25,38.49,3232.15,28.43,11.43,5756107,51135,180621,110942,69372,9236009,127446
2017,"Peoria County, IL",17143,2533,27.78,38.24,38.41,3230.14,28.14,11.21,5478788,47963,182578,108420,63300,8757027,124552
2016,"Peoria County, IL",17143,2536,27.78,38.41,38.55,3265.79,27.91,11.49,5576337,47351,185073,105968,59780,8763456,121974
2018,"Rock Island County, IL",17161,1731,28.17,38.44,38.59,3298.36,28.43,11.64,3767576,44802,143477,79153,67680,6428026,91436
2017,"Rock Island County, IL",17161,1668,27.75,38.44,38.78,3279.09,28.22,11.78,3705907,43156,144293,78885,67435,6227160,90858
2016,"Rock Island County, IL",17161,1776,27.45,38.54,38.72,3296.96,27.73,12.04,3614542,41710,145230,76870,65149,6057573,88904
2016,"St. Clair County, IL",17163,3228,27.88,38.21,38.36,3212.28,28.2,10.11,6577294,41712,263102,104450,51733,10974410,127840
2017,"St. Clair County, IL",17163,3221,27.97,38.25,38.42,3201.58,28.54,10.41,6712592,42933,262426,104918,52776,11266689,128462
2018,"St. Clair County, IL",17163,3109,28.05,38.18,38.37,3189.87,28.67,10.39,7000257,45061,261059,103666,53672,11763624,127796
2016,"Sangamon County, IL",17167,2245,28.38,38.22,38.42,3221.97,27.43,11.48,5466473,44852,198004,105211,54405,8880852,126173
2018,"Sangamon County, IL",17167,2240,28.62,38.03,38.14,3178.69,28.67,11.33,5788674,48891,195348,104852,57713,9550735,126292
2017,"Sangamon County, IL",17167,2289,28.3,38.15,38.34,3198.39,27.92,11.38,5549147,46187,196889,104495,55605,9093807,125435
2017,"Tazewell County, IL",17179,1450,28.36,38.54,38.63,3375.52,28.18,12.18,3772093,44855,133391,53529,57071,5983226,65311
2018,"Tazewell County, IL",17179,1391,28.63,38.54,38.83,3379.54,28.11,12.09,3987537,47862,132328,51779,54290,6333441,63845
2016,"Tazewell County, IL",17179,1496,28.45,38.61,38.83,3398.91,27.5,12.45,3844634,44684,133887,58693,65483,5982586,70166
2016,"Will County, IL",17197,7804,29.71,38.36,38.54,3298.48,26.9,11.1,24920922,48781,688648,248398,52163,33593070,320688
2018,"Will County, IL",17197,7318,30.01,38.31,38.45,3289.24,27.33,11.18,26940095,52953,692310,267506,52885,36659783,344256
2017,"Will County, IL",17197,7427,29.91,38.39,38.56,3306.95,27.16,11.18,25732089,50449,691017,258043,52467,34861105,332062
2018,"Winnebago County, IL",17201,3497,27.92,38.21,38.44,3247.24,28.86,13.07,7780424,43742,284081,135060,55508,12426194,163037
2017,"Winnebago County, IL",17201,3501,27.71,38.31,38.51,3245.48,28.34,13.01,7417893,41579,284740,134275,53849,11839303,161563
2016,"Winnebago County, IL",17201,3711,27.76,38.4,38.58,3262.8,28.34,12.88,7171096,39985,286054,135522,51625,11437879,162925
2016,"Allen County, IN",18003,5151,27.97,38.58,38.63,3255.33,27.49,11.85,10183388,43216,369778,198051,51473,15980208,237816
2017,"Allen County, IN",18003,5206,27.8,38.52,38.59,3248.2,27.6,11.93,10461997,44182,372210,200401,52153,16445153,241833
2018,"Allen County, IN",18003,5240,27.89,38.5,38.57,3248.63,27.8,11.53,11019264,46288,375351,203901,53973,17374174,246503
2017,"Clark County, IN",18019,1474,27.75,38.44,38.52,3311.57,28.01,11.26,3231253,42231,116672,57584,47569,4927228,68519
2016,"Clark County, IN",18019,1448,27.6,38.3,38.55,3250.96,28.05,10.88,3139638,41239,115598,58101,46934,4767154,68412
2018,"Clark County, IN",18019,1396,27.93,38.37,38.63,3290.45,27.98,10.88,3346180,43763,117360,57413,49034,5136083,68676
2018,"Delaware County, IN",18035,1072,27.4,38.3,38.4,3286.31,28.3,11.6,2274852,37201,114772,51016,45792,4269683,60141
2017,"Delaware County, IN",18035,1126,26.99,38.39,38.51,3263.91,27.95,11.4,2208853,35713,115389,51451,44703,4120845,60370
2016,"Delaware County, IN",18035,1174,26.87,38.44,38.5,3248.95,27.83,11.62,2173446,34621,115676,51580,43763,4004797,60283
2017,"Elkhart County, IN",18039,3087,27.24,38.62,38.71,3322.95,27.82,11.18,6352386,45451,204310,143153,60657,9286181,164569
2018,"Elkhart County, IN",18039,3117,27.28,38.67,38.78,3331.83,27.7,11.09,6520393,46816,205560,144183,60335,9623587,166245
2016,"Elkhart County, IN",18039,3126,27.1,38.61,38.74,3306.78,27.64,11.28,5779874,41959,203652,133968,56417,8544983,154717
2016,"Hamilton County, IN",18057,3798,31.0,38.5,38.59,3335.15,26.38,13.15,16149389,69299,315990,149159,57270,21897695,198534
2017,"Hamilton County, IN",18057,3835,31.08,38.5,38.56,3332.19,26.17,12.4,16971255,71816,323082,153121,57548,23202590,206418
2018,"Hamilton County, IN",18057,3724,31.16,38.5,38.59,3346.55,26.21,12.38,17888375,74717,330086,155335,58468,24662953,210087
2017,"Hendricks County, IN",18063,1720,29.42,38.48,38.55,3355.44,27.51,12.13,5751006,47740,163758,73898,43136,7817824,92875
2016,"Hendricks County, IN",18063,1760,29.45,38.5,38.64,3330.54,27.0,11.92,5468935,46316,160369,71202,41857,7427685,88574
2018,"Hendricks County, IN",18063,1619,29.53,38.48,38.59,3365.23,27.41,12.23,6071497,49641,167009,77082,44771,8290500,96657
2018,"Johnson County, IN",18081,1877,28.27,38.46,38.53,3319.68,27.76,11.95,5176836,48332,156225,59453,44829,7550688,77510
2016,"Johnson County, IN",18081,1871,28.23,38.51,38.64,3319.93,27.38,11.98,4719796,45220,151575,55183,42201,6854175,71521
2017,"Johnson County, IN",18081,1814,28.06,38.46,38.6,3316.62,27.47,11.74,4937839,46528,153922,57143,42931,7161613,74608
2016,"Lake County, IN",18089,5657,28.07,38.5,38.53,3263.22,27.9,10.74,12666204,41596,486199,200728,52429,20223868,243589
2018,"Lake County, IN",18089,5785,28.12,38.41,38.5,3243.64,28.19,10.72,13698553,45172,484411,202319,54858,21881948,247816
2017,"Lake County, IN",18089,5601,28.13,38.48,38.53,3256.09,28.0,10.6,13127046,43085,484766,201768,53264,20885927,245938
2017,"La Porte County, IN",18091,1272,27.27,38.41,38.51,3253.38,28.14,10.23,2700886,40561,109911,43299,46578,4458143,53246
2018,"La Porte County, IN",18091,1271,27.51,38.38,38.42,3233.37,28.93,10.48,2818751,42527,110007,43292,48113,4678294,53496
2016,"La Porte County, IN",18091,1305,26.91,38.5,38.6,3256.85,28.02,9.83,2635118,39048,110254,43373,46045,4305194,53115
2016,"Madison County, IN",18095,1506,26.75,38.37,38.47,3277.58,28.02,11.63,2670605,35930,129297,42359,43119,4645644,52961
2018,"Madison County, IN",18095,1409,26.67,38.23,38.32,3243.34,28.26,11.37,2816940,38172,129641,43022,44857,4948667,54432
2017,"Madison County, IN",18095,1396,26.98,38.35,38.43,3264.98,28.16,11.8,2709170,36675,129460,42748,42907,4747917,53867
2017,"Marion County, IN",18097,14389,28.0,38.36,38.42,3214.05,28.03,10.74,32890839,50328,948952,646669,72567,47758830,755386
2016,"Marion County, IN",18097,14294,27.93,38.38,38.48,3227.82,27.86,11.56,32277222,49530,944139,641506,71987,46763199,742036
2018,"Marion County, IN",18097,14036,28.2,38.33,38.41,3228.69,28.33,10.78,33856974,51940,954670,652107,74062,49585841,764738
2017,"Monroe County, IN",18105,1249,28.94,38.82,38.88,3388.94,27.13,12.94,3586717,40303,146720,73241,48137,5913275,89896
2016,"Monroe County, IN",18105,1301,29.04,38.78,38.86,3369.24,26.45,12.31,3397162,38193,145748,72285,46578,5566614,88060
2018,"Monroe County, IN",18105,1246,29.24,38.52,38.7,3304.6,27.36,12.91,3724091,42212,146917,74073,48916,6201690,91240
2016,"Porter County, IN",18127,1750,28.79,38.52,38.58,3315.84,27.04,10.46,5446584,48015,167522,64327,48445,8043621,81025
2017,"Porter County, IN",18127,1642,28.8,38.56,38.69,3324.43,27.88,10.66,5734857,50615,168544,64274,49843,8530807,81750
2018,"Porter County, IN",18127,1677,28.86,38.53,38.66,3343.58,28.05,10.74,6023133,53130,169594,66071,51187,9010455,84033
2016,"St. Joseph County, IN",18141,3577,27.84,38.59,38.64,3268.8,27.08,11.07,7554405,43893,269484,134715,52833,11828369,159889
2017,"St. Joseph County, IN",18141,3497,27.73,38.5,38.57,3261.86,27.39,11.04,8044293,46068,269994,135042,53744,12437967,161365
2018,"St. Joseph County, IN",18141,3538,27.85,38.37,38.43,3251.52,27.63,11.0,8251041,47673,270771,135731,55228,12908529,162836
2016,"Tippecanoe County, IN",18157,2359,28.04,38.6,38.69,3303.27,26.42,11.18,4379299,35479,190504,94639,51200,6758967,110465
2018,"Tippecanoe County, IN",18157,2158,28.31,38.43,38.54,3280.27,27.31,10.97,4889235,39169,193048,96993,55428,7561524,114371
2017,"Tippecanoe County, IN",18157,2240,28.41,38.44,38.57,3262.99,27.26,11.16,4548218,36852,191670,95437,52221,7063343,112374
2018,"Vanderburgh County, IN",18163,2115,27.25,38.22,38.37,3226.0,27.58,11.76,4844636,45893,180974,117048,53214,8305357,134374
2016,"Vanderburgh County, IN",18163,2269,27.24,38.1,38.27,3203.57,27.3,11.63,4595314,42628,181306,114463,51591,7728714,130851
2017,"Vanderburgh County, IN",18163,2128,27.48,38.23,38.35,3239.84,27.57,11.72,4696594,44004,180900,115993,52589,7960334,132889
2017,"Vigo County, IN",18167,1224,26.73,38.23,38.31,3247.47,28.35,10.78,2150952,37443,107681,53041,47257,4031903,61317
2018,"Vigo County, IN",18167,1131,26.84,38.21,38.23,3261.14,27.86,11.41,2203641,38970,107386,52695,48410,4184785,61167
2016,"Vigo County, IN",18167,1288,26.71,38.34,38.5,3271.03,27.61,10.93,2098426,35940,107851,52943,46170,3876183,61075
2016,"Black Hawk County, IA",19013,1671,27.72,38.59,38.9,3352.22,27.21,11.82,3305135,40995,133116,78017,49538,5457086,91606
2017,"Black Hawk County, IA",19013,1732,28.07,38.54,38.85,3307.25,27.53,11.4,3383554,42221,132409,77896,50938,5590464,91689
2018,"Black Hawk County, IA",19013,1632,28.31,38.43,38.71,3304.43,27.82,11.09,3535073,44764,132408,78826,52526,5927076,93006
2017,"Johnson County, IA",19103,1751,30.37,38.65,38.82,3328.34,25.89,11.05,4916772,50536,149213,98268,52851,7540653,117851
2016,"Johnson County, IA",19103,1857,30.34,38.7,38.85,3341.78,25.82,11.15,4762277,49104,146858,97218,51937,7211254,116146
2018,"Johnson County, IA",19103,1735,30.63,38.55,38.74,3339.94,26.11,11.09,5123955,52672,151260,98019,54180,7967115,118161
2016,"Linn County, IA",19113,2800,28.6,38.52,38.75,3337.79,27.15,12.49,7260339,49592,222081,135410,56114,11013371,160887
2017,"Linn County, IA",19113,2799,28.77,38.56,38.65,3372.5,27.28,12.4,7415084,50374,224277,135284,57124,11297646,161286
2018,"Linn County, IA",19113,2731,28.89,38.41,38.61,3333.72,27.65,12.46,7680648,52743,225909,136326,59101,11915120,163018
2018,"Polk County, IA",19153,6655,28.96,38.44,38.68,3332.34,27.06,11.93,17327185,53215,487204,315571,62546,25926709,375811
2016,"Polk County, IA",19153,6921,28.81,38.52,38.89,3333.24,26.9,12.02,16219737,50180,474579,308575,59995,23814253,365016
2017,"Polk County, IA",19153,6943,28.91,38.54,38.77,3352.22,26.99,12.05,16671832,51006,481086,311980,61068,24538106,370577
2018,"Scott County, IA",19163,2096,28.55,38.41,38.6,3308.58,27.69,12.81,5905509,54323,173283,94745,52151,9413211,114202
2016,"Scott County, IA",19163,2213,28.34,38.52,38.82,3340.33,27.25,12.69,5502851,50263,172223,94482,49376,8656442,113171
2017,"Scott County, IA",19163,2117,28.38,38.4,38.63,3308.26,27.47,12.66,5722204,51985,172692,94656,50295,8977340,113629
2018,"Woodbury County, IA",19193,1393,27.55,38.36,38.45,3270.87,27.84,11.79,2838791,43988,102539,54224,49290,4510448,64347
2016,"Woodbury County, IA",19193,1549,27.53,38.42,38.56,3300.82,27.46,12.25,2758249,41700,102600,55877,50959,4278426,65910
2017,"Woodbury County, IA",19193,1416,27.57,38.49,38.52,3322.86,27.47,11.81,2705726,41570,102052,53704,47801,4242280,63580
2016,"Douglas County, KS",20045,1177,29.39,38.49,38.5,3300.38,26.63,11.91,3140209,40244,119858,55887,41671,4823575,71510
2017,"Douglas County, KS",20045,1134,29.43,38.44,38.47,3311.79,26.52,11.56,3287432,41899,120629,57649,42074,5054290,73719
2018,"Douglas County, KS",20045,1116,29.43,38.44,38.5,3277.79,27.26,11.73,3404988,43642,121436,57753,43024,5299726,74274
2016,"Johnson County, KS",20091,7360,30.4,38.69,38.72,3357.55,25.66,11.99,28455477,68984,585921,362141,62836,40419175,458094
2017,"Johnson County, KS",20091,7223,30.48,38.58,38.64,3344.23,25.89,11.86,29781694,70899,591284,367105,65019,41921702,464017
2018,"Johnson County, KS",20091,7140,30.65,38.54,38.65,3350.41,26.17,11.77,31050787,74010,597555,374700,66700,44225223,474279
2018,"Sedgwick County, KS",20173,6733,27.98,38.35,38.36,3288.15,27.57,10.89,17033448,53776,513607,270231,60787,27619954,337601
2017,"Sedgwick County, KS",20173,6924,27.82,38.27,38.25,3267.96,27.25,10.71,16072948,50503,513289,266315,58436,25922684,332192
2016,"Sedgwick County, KS",20173,7309,27.7,38.43,38.45,3299.48,27.22,10.9,15377348,47945,513188,266860,56074,24604872,333165
2016,"Shawnee County, KS",20177,2189,27.61,38.45,38.45,3310.81,28.0,11.45,4767874,43704,178426,105035,52988,7797920,122644
2017,"Shawnee County, KS",20177,2074,27.69,38.28,38.3,3270.58,28.43,11.29,4825651,44478,178173,104349,54008,7924854,122172
2018,"Shawnee County, KS",20177,2123,27.65,38.24,38.38,3281.15,28.26,11.22,5037820,46861,177499,104765,56159,8317702,123032
2017,"Wyandotte County, KS",20209,2541,27.27,38.41,38.38,3237.4,28.22,10.38,3386643,32157,165313,97616,62676,5315989,110241
2018,"Wyandotte County, KS",20209,2614,27.26,38.33,38.38,3218.73,28.42,10.25,3501247,33315,165324,96507,64545,5507718,109559
2016,"Wyandotte County, KS",20209,2695,27.02,38.4,38.33,3213.99,27.89,10.27,3243860,31158,164934,98711,61143,5139073,110353
2017,"Boone County, KY",21015,1716,28.81,38.47,38.84,3329.86,26.88,11.73,4371079,45860,130611,91776,52589,5989825,105620
2016,"Boone County, KY",21015,1681,28.92,38.36,38.71,3311.64,26.4,11.83,4174197,44105,129185,87966,52003,5697762,100882
2018,"Boone County, KY",21015,1695,29.21,38.4,38.71,3321.63,26.75,11.65,4584062,48004,131533,97279,53508,6314148,111544
2016,"Fayette County, KY",21067,4090,29.0,38.32,38.51,3247.12,26.43,12.12,9274617,46493,319738,207744,52706,14865732,248405
2018,"Fayette County, KY",21067,3921,29.16,38.23,38.38,3237.39,26.95,12.33,9784983,50180,323780,208475,54781,16247217,251281
2017,"Fayette County, KY",21067,3912,28.95,38.35,38.54,3270.64,26.7,12.02,9539789,48427,322193,210297,53683,15602893,251932
2016,"Hardin County, KY",21093,1441,26.67,38.44,38.68,3282.68,29.33,10.12,2622683,40992,107041,55085,54101,4387875,64745
2017,"Hardin County, KY",21093,1449,27.12,38.29,38.53,3286.19,29.1,10.4,2729280,42161,108226,54646,55801,4562934,64710
2018,"Hardin County, KY",21093,1431,27.33,38.28,38.48,3284.02,28.61,9.92,2870561,43424,110356,55150,57013,4792121,65446
2017,"Jefferson County, KY",21111,9908,28.54,38.32,38.64,3246.0,27.05,11.8,23976560,49871,770377,494811,59879,38419251,587946
2016,"Jefferson County, KY",21111,9889,28.3,38.33,38.61,3232.47,27.13,11.59,22948622,47841,767711,490651,58271,36728233,578864
2018,"Jefferson County, KY",21111,9584,28.6,38.29,38.58,3248.57,27.2,11.77,24733684,51937,770517,498621,61145,40017970,594897
2016,"Kenton County, KY",21117,2329,28.2,38.36,38.69,3271.33,26.75,11.35,5370378,53786,164676,69054,60221,8857241,85392
2018,"Kenton County, KY",21117,2191,28.58,38.38,38.7,3284.94,27.32,11.5,5697082,57982,166051,71611,63275,9627945,89369
2017,"Kenton County, KY",21117,2331,28.28,38.31,38.6,3254.88,26.96,11.3,5451754,55101,165410,69422,60767,9114305,86627
2017,"Warren County, KY",21227,1714,27.86,38.39,38.51,3269.15,27.02,10.21,3030496,37140,128995,68295,46053,4790914,84699
2018,"Warren County, KY",21227,1732,27.85,38.33,38.61,3302.9,26.79,10.46,3135276,38045,131264,68790,46896,4993967,85593
2016,"Warren County, KY",21227,1640,27.7,38.36,38.56,3266.96,26.85,9.99,2895569,36302,126493,67278,44825,4591896,83195
2018,"Ascension Parish, LA",22005,1687,28.77,38.17,38.2,3220.11,27.91,11.06,4607766,49829,124672,48886,58155,6212332,64229
2016,"Ascension Parish, LA",22005,1751,28.34,38.23,38.26,3224.2,28.04,10.82,4219838,46685,121520,47187,56558,5673180,61231
2017,"Ascension Parish, LA",22005,1704,28.4,38.2,38.23,3227.73,27.57,11.15,4376828,47798,123028,48635,56968,5880525,63557
2017,"Bossier Parish, LA",22015,1627,27.63,37.91,38.11,3169.94,26.94,11.83,3298711,41876,127058,51082,47162,5320630,66629
2016,"Bossier Parish, LA",22015,1751,27.59,38.0,38.16,3179.57,26.84,11.99,3254179,41722,125962,51472,46577,5255448,66675
2018,"Bossier Parish, LA",22015,1693,27.67,37.95,38.08,3181.81,27.55,11.62,3485770,44149,127185,52589,49298,5615097,68476
2017,"Caddo Parish, LA",22017,3231,27.05,37.66,37.69,3057.91,28.02,11.31,6131209,45384,246034,120780,49102,11166100,161361
2016,"Caddo Parish, LA",22017,3364,26.99,37.7,37.8,3065.03,28.12,11.56,6209677,44851,248885,122385,48374,11162660,164163
2018,"Caddo Parish, LA",22017,3072,26.99,37.79,37.72,3098.81,28.45,11.36,6436683,48413,242922,120975,50755,11760644,162190
2017,"Calcasieu Parish, LA",22019,2987,26.67,38.02,38.24,3157.11,27.35,9.9,6126558,46162,202330,104561,56077,9340051,128066
2016,"Calcasieu Parish, LA",22019,3034,26.58,38.14,38.39,3173.54,26.98,10.23,5845358,44604,200480,100232,55599,8942225,122773
2018,"Calcasieu Parish, LA",22019,3057,26.98,38.04,38.04,3167.82,27.17,9.95,6542430,48968,203112,108258,58640,9945927,132380
2018,"East Baton Rouge Parish, LA",22033,5780,28.15,38.01,38.05,3121.64,27.91,10.4,13873329,51386,440956,284762,59374,22658991,353208
2016,"East Baton Rouge Parish, LA",22033,6125,27.93,38.07,38.13,3149.74,28.05,10.3,13139414,47689,446029,284602,55930,21270506,350248
2017,"East Baton Rouge Parish, LA",22033,5975,27.85,38.08,38.12,3138.55,27.55,10.34,13411362,48855,443607,282869,57115,21672635,349549
2017,"Jefferson Parish, LA",22051,5835,28.46,38.28,38.39,3195.16,27.61,11.55,12893664,48520,436296,207685,52444,21169296,280577
2016,"Jefferson Parish, LA",22051,5887,28.37,38.27,38.37,3192.23,27.4,11.21,12752348,47629,436749,209183,51542,20801762,279956
2018,"Jefferson Parish, LA",22051,5649,28.55,38.2,38.35,3174.65,27.72,11.91,13357398,51005,434051,206220,53363,22138952,282028
